common_name,species
Highland Tinamou,Nothocercus bonapartei
Great Tinamou,Tinamus major
Little Tinamou,Crypturellus soui
Thicket Tinamou,Crypturellus cinnamomeus
Slaty-breasted Tinamou,Crypturellus boucardi
Choco Tinamou,Crypturellus kerriae
White-faced Whistling-Duck,Dendrocygna viduata
Black-bellied Whistling-Duck,Dendrocygna autumnalis
West Indian Whistling-Duck,Dendrocygna arborea
Fulvous Whistling-Duck,Dendrocygna bicolor
Emperor Goose,Anser canagicus
Snow Goose,Anser caerulescens
Ross's Goose,Anser rossii
Graylag Goose,Anser anser
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Taiga Bean-Goose,Anser fabalis
Tundra Bean-Goose,Anser serrirostris
Pink-footed Goose,Anser brachyrhynchus
Brant,Branta bernicla
Barnacle Goose,Branta leucopsis
Cackling Goose,Branta hutchinsii
Canada Goose,Branta canadensis
Hawaiian Goose,Branta sandvicensis
Mute Swan,Cygnus olor
Trumpeter Swan,Cygnus buccinator
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Comb Duck,Sarkidiornis sylvicola
Orinoco Goose,Neochen jubata
Egyptian Goose,Alopochen aegyptiaca
Common Shelduck,Tadorna tadorna
Ruddy Shelduck,Tadorna ferruginea
Muscovy Duck,Cairina moschata
Wood Duck,Aix sponsa
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Blue-winged Teal,Spatula discors
Cinnamon Teal,Spatula cyanoptera
Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Falcated Duck,Mareca falcata
Eurasian Wigeon,Mareca penelope
American Wigeon,Mareca americana
Laysan Duck,Anas laysanensis
Hawaiian Duck,Anas wyvilliana
Eastern Spot-billed Duck,Anas zonorhyncha
Mallard,Anas platyrhynchos
Mexican Duck,Anas diazi
American Black Duck,Anas rubripes
Mottled Duck,Anas fulvigula
White-cheeked Pintail,Anas bahamensis
Northern Pintail,Anas acuta
Green-winged Teal,Anas crecca
Canvasback,Aythya valisineria
Redhead,Aythya americana
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Steller's Eider,Polysticta stelleri
Labrador Duck,Camptorhynchus labradorius
Spectacled Eider,Somateria fischeri
King Eider,Somateria spectabilis
Common Eider,Somateria mollissima
Harlequin Duck,Histrionicus histrionicus
Surf Scoter,Melanitta perspicillata
Velvet Scoter,Melanitta fusca
White-winged Scoter,Melanitta deglandi
Stejneger's Scoter,Melanitta stejnegeri
Common Scoter,Melanitta nigra
Black Scoter,Melanitta americana
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Barrow's Goldeneye,Bucephala islandica
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Masked Duck,Nomonyx dominicus
Ruddy Duck,Oxyura jamaicensis
Plain Chachalaca,Ortalis vetula
Gray-headed Chachalaca,Ortalis cinereiceps
Rufous-vented Chachalaca,Ortalis ruficauda
Rufous-bellied Chachalaca,Ortalis wagleri
West Mexican Chachalaca,Ortalis poliocephala
White-bellied Chachalaca,Ortalis leucogastra
Crested Guan,Penelope purpurascens
Black Guan,Chamaepetes unicolor
Highland Guan,Penelopina nigra
Horned Guan,Oreophasis derbianus
Great Curassow,Crax rubra
Helmeted Guineafowl,Numida meleagris
Tawny-faced Quail,Rhynchortyx cinctus
Mountain Quail,Oreortyx pictus
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
Long-tailed Wood-Partridge,Dendrortyx macroura
Bearded Wood-Partridge,Dendrortyx barbatus
Banded Quail,Philortyx fasciatus
Northern Bobwhite,Colinus virginianus
Black-throated Bobwhite,Colinus nigrogularis
Crested Bobwhite,Colinus cristatus
Scaled Quail,Callipepla squamata
Elegant Quail,Callipepla douglasii
California Quail,Callipepla californica
Gambel's Quail,Callipepla gambelii
Montezuma Quail,Cyrtonyx montezumae
Ocellated Quail,Cyrtonyx ocellatus
Singing Quail,Dactylortyx thoracicus
Marbled Wood-Quail,Odontophorus gujanensis
Black-eared Wood-Quail,Odontophorus melanotis
Tacarcuna Wood-Quail,Odontophorus dialeucos
Black-breasted Wood-Quail,Odontophorus leucolaemus
Spotted Wood-Quail,Odontophorus guttatus
Wild Turkey,Meleagris gallopavo
Ocellated Turkey,Meleagris ocellata
Ruffed Grouse,Bonasa umbellus
Spruce Grouse,Canachites canadensis
Willow Ptarmigan,Lagopus lagopus
Rock Ptarmigan,Lagopus muta
White-tailed Ptarmigan,Lagopus leucura
Greater Sage-Grouse,Centrocercus urophasianus
Gunnison Sage-Grouse,Centrocercus minimus
Dusky Grouse,Dendragapus obscurus
Sooty Grouse,Dendragapus fuliginosus
Sharp-tailed Grouse,Tympanuchus phasianellus
Greater Prairie-Chicken,Tympanuchus cupido
Lesser Prairie-Chicken,Tympanuchus pallidicinctus
Gray Partridge,Perdix perdix
Ring-necked Pheasant,Phasianus colchicus
Kalij Pheasant,Lophura leucomelanos
Indian Peafowl,Pavo cristatus
Gray Francolin,Francolinus pondicerianus
Black Francolin,Francolinus francolinus
Red Junglefowl,Gallus gallus
Himalayan Snowcock,Tetraogallus himalayensis
Chukar,Alectoris chukar
Japanese Quail,Coturnix japonica
Erckel's Francolin,Pternistis erckelii
American Flamingo,Phoenicopterus ruber
Least Grebe,Tachybaptus dominicus
Pied-billed Grebe,Podilymbus podiceps
Atitlan Grebe,Podilymbus gigas
Horned Grebe,Podiceps auritus
Red-necked Grebe,Podiceps grisegena
Eared Grebe,Podiceps nigricollis
Western Grebe,Aechmophorus occidentalis
Clark's Grebe,Aechmophorus clarkii
Chestnut-bellied Sandgrouse,Pterocles exustus
Rock Pigeon,Columba livia
Common Wood Pigeon,Columba palumbus
Pale-vented Pigeon,Patagioenas cayennensis
Scaled Pigeon,Patagioenas speciosa
Scaly-naped Pigeon,Patagioenas squamosa
White-crowned Pigeon,Patagioenas leucocephala
Red-billed Pigeon,Patagioenas flavirostris
Plain Pigeon,Patagioenas inornata
Band-tailed Pigeon,Patagioenas fasciata
Ring-tailed Pigeon,Patagioenas caribaea
Plumbeous Pigeon,Patagioenas plumbea
Ruddy Pigeon,Patagioenas subvinacea
Short-billed Pigeon,Patagioenas nigrirostris
Dusky Pigeon,Patagioenas goodsoni
Oriental Turtle-Dove,Streptopelia orientalis
African Collared-Dove,Streptopelia roseogrisea
European Turtle-Dove,Streptopelia turtur
Eurasian Collared-Dove,Streptopelia decaocto
Spotted Dove,Streptopelia chinensis
Zebra Dove,Geopelia striata
Passenger Pigeon,Ectopistes migratorius
Inca Dove,Columbina inca
Common Ground Dove,Columbina passerina
Plain-breasted Ground Dove,Columbina minuta
Ruddy Ground Dove,Columbina talpacoti
Blue Ground Dove,Claravis pretiosa
Maroon-chested Ground Dove,Paraclaravis mondetoura
Blue-headed Quail-Dove,Starnoenas cyanocephala
Crested Quail-Dove,Geotrygon versicolor
Ruddy Quail-Dove,Geotrygon montana
Violaceous Quail-Dove,Geotrygon violacea
Gray-fronted Quail-Dove,Geotrygon caniceps
White-fronted Quail-Dove,Geotrygon leucometopia
Key West Quail-Dove,Geotrygon chrysia
Bridled Quail-Dove,Geotrygon mystacea
Olive-backed Quail-Dove,Leptotrygon veraguensis
White-tipped Dove,Leptotila verreauxi
Caribbean Dove,Leptotila jamaicensis
Gray-chested Dove,Leptotila cassinii
Gray-headed Dove,Leptotila plumbeiceps
Grenada Dove,Leptotila wellsi
Tuxtla Quail-Dove,Zentrygon carrikeri
Buff-fronted Quail-Dove,Zentrygon costaricensis
Purplish-backed Quail-Dove,Zentrygon lawrencii
White-faced Quail-Dove,Zentrygon albifacies
Chiriqui Quail-Dove,Zentrygon chiriquensis
Russet-crowned Quail-Dove,Zentrygon goldmani
White-winged Dove,Zenaida asiatica
Zenaida Dove,Zenaida aurita
Eared Dove,Zenaida auriculata
Mourning Dove,Zenaida macroura
Socorro Dove,Zenaida graysoni
Greater Ani,Crotophaga major
Smooth-billed Ani,Crotophaga ani
Groove-billed Ani,Crotophaga sulcirostris
Striped Cuckoo,Tapera naevia
Pheasant Cuckoo,Dromococcyx phasianellus
Lesser Ground-Cuckoo,Morococcyx erythropygus
Lesser Roadrunner,Geococcyx velox
Greater Roadrunner,Geococcyx californianus
Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi
Common Cuckoo,Cuculus canorus
Oriental Cuckoo,Cuculus optatus
Little Cuckoo,Coccycua minuta
Dwarf Cuckoo,Coccycua pumila
Squirrel Cuckoo,Piaya cayana
Dark-billed Cuckoo,Coccyzus melacoryphus
Yellow-billed Cuckoo,Coccyzus americanus
Pearly-breasted Cuckoo,Coccyzus euleri
Mangrove Cuckoo,Coccyzus minor
Cocos Cuckoo,Coccyzus ferrugineus
Black-billed Cuckoo,Coccyzus erythropthalmus
Gray-capped Cuckoo,Coccyzus lansbergi
Chestnut-bellied Cuckoo,Coccyzus pluvialis
Bay-breasted Cuckoo,Coccyzus rufigularis
Jamaican Lizard-Cuckoo,Coccyzus vetula
Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti
Great Lizard-Cuckoo,Coccyzus merlini
Hispaniolan Lizard-Cuckoo,Coccyzus longirostris
Short-tailed Nighthawk,Lurocalis semitorquatus
Lesser Nighthawk,Chordeiles acutipennis
Common Nighthawk,Chordeiles minor
Antillean Nighthawk,Chordeiles gundlachii
Common Pauraque,Nyctidromus albicollis
Common Poorwill,Phalaenoptilus nuttallii
Jamaican Pauraque,Siphonorhis americana
Least Pauraque,Siphonorhis brewsteri
Eared Poorwill,Nyctiphrynus mcleodii
Yucatan Poorwill,Nyctiphrynus yucatanicus
Ocellated Poorwill,Nyctiphrynus ocellatus
Chuck-will's-widow,Antrostomus carolinensis
Rufous Nightjar,Antrostomus rufus
Cuban Nightjar,Antrostomus cubanensis
Hispaniolan Nightjar,Antrostomus ekmani
Tawny-collared Nightjar,Antrostomus salvini
Yucatan Nightjar,Antrostomus badius
Buff-collared Nightjar,Antrostomus ridgwayi
Eastern Whip-poor-will,Antrostomus vociferus
Dusky Nightjar,Antrostomus saturatus
Mexican Whip-poor-will,Antrostomus arizonae
Puerto Rican Nightjar,Antrostomus noctitherus
White-tailed Nightjar,Hydropsalis cayennensis
Spot-tailed Nightjar,Hydropsalis maculicaudus
Gray Nightjar,Caprimulgus jotaka
Oilbird,Steatornis caripensis
Great Potoo,Nyctibius grandis
Common Potoo,Nyctibius griseus
Northern Potoo,Nyctibius jamaicensis
Black Swift,Cypseloides niger
White-fronted Swift,Cypseloides storeri
White-chinned Swift,Cypseloides cryptus
Spot-fronted Swift,Cypseloides cherriei
Chestnut-collared Swift,Streptoprocne rutila
White-collared Swift,Streptoprocne zonaris
White-naped Swift,Streptoprocne semicollaris
Gray-rumped Swift,Chaetura cinereiventris
Band-rumped Swift,Chaetura spinicaudus
Costa Rican Swift,Chaetura fumosa
Lesser Antillean Swift,Chaetura martinica
Chimney Swift,Chaetura pelagica
Vaux's Swift,Chaetura vauxi
Chapman's Swift,Chaetura chapmani
Sick's Swift,Chaetura meridionalis
Short-tailed Swift,Chaetura brachyura
White-throated Needletail,Hirundapus caudacutus
Mariana Swiftlet,Aerodramus bartschi
Common Swift,Apus apus
Fork-tailed Swift,Apus pacificus
Alpine Swift,Apus melba
White-throated Swift,Aeronautes saxatalis
Lesser Swallow-tailed Swift,Panyptila cayennensis
Great Swallow-tailed Swift,Panyptila sanctihieronymi
Antillean Palm-Swift,Tachornis phoenicobia
White-necked Jacobin,Florisuga mellivora
White-tipped Sicklebill,Eutoxeres aquila
Bronzy Hermit,Glaucis aeneus
Rufous-breasted Hermit,Glaucis hirsutus
Band-tailed Barbthroat,Threnetes ruckeri
Green Hermit,Phaethornis guy
Mexican Hermit,Phaethornis mexicanus
Long-billed Hermit,Phaethornis longirostris
Pale-bellied Hermit,Phaethornis anthophilus
Stripe-throated Hermit,Phaethornis striigularis
Green-fronted Lancebill,Doryfera ludovicae
Brown Violetear,Colibri delphinae
Mexican Violetear,Colibri thalassinus
Lesser Violetear,Colibri cyanotus
Tooth-billed Hummingbird,Androdon aequatorialis
Purple-crowned Fairy,Heliothryx barroti
Ruby-topaz Hummingbird,Chrysolampis mosquitus
Green-breasted Mango,Anthracothorax prevostii
Black-throated Mango,Anthracothorax nigricollis
Veraguan Mango,Anthracothorax veraguensis
Hispaniolan Mango,Anthracothorax dominicus
Puerto Rican Mango,Anthracothorax aurulentus
Green Mango,Anthracothorax viridis
Jamaican Mango,Anthracothorax mango
Purple-throated Carib,Eulampis jugularis
Green-throated Carib,Eulampis holosericeus
Green Thorntail,Discosura conversii
Short-crested Coquette,Lophornis brachylophus
Rufous-crested Coquette,Lophornis delattrei
Black-crested Coquette,Lophornis helenae
White-crested Coquette,Lophornis adorabilis
Greenish Puffleg,Haplophaedia aureliae
Green-crowned Brilliant,Heliodoxa jacula
Rivoli's Hummingbird,Eugenes fulgens
Talamanca Hummingbird,Eugenes spectabilis
Fiery-throated Hummingbird,Panterpe insignis
Long-billed Starthroat,Heliomaster longirostris
Plain-capped Starthroat,Heliomaster constantii
Green-throated Mountain-gem,Lampornis viridipallens
Green-breasted Mountain-gem,Lampornis sybillae
Amethyst-throated Mountain-gem,Lampornis amethystinus
Blue-throated Mountain-gem,Lampornis clemenciae
White-bellied Mountain-gem,Lampornis hemileucus
Purple-throated Mountain-gem,Lampornis calolaemus
White-throated Mountain-gem,Lampornis castaneoventris
Garnet-throated Hummingbird,Lamprolaima rhami
Magenta-throated Woodstar,Philodice bryantae
Purple-throated Woodstar,Philodice mitchellii
Slender Sheartail,Doricha enicura
Mexican Sheartail,Doricha eliza
Sparkling-tailed Hummingbird,Tilmatura dupontii
Lucifer Hummingbird,Calothorax lucifer
Beautiful Hummingbird,Calothorax pulcher
Ruby-throated Hummingbird,Archilochus colubris
Black-chinned Hummingbird,Archilochus alexandri
Vervain Hummingbird,Mellisuga minima
Bee Hummingbird,Mellisuga helenae
Bahama Woodstar,Nesophlox evelynae
Inagua Woodstar,Nesophlox lyrura
Anna's Hummingbird,Calypte anna
Costa's Hummingbird,Calypte costae
Calliope Hummingbird,Selasphorus calliope
Rufous Hummingbird,Selasphorus rufus
Allen's Hummingbird,Selasphorus sasin
Broad-tailed Hummingbird,Selasphorus platycercus
Bumblebee Hummingbird,Selasphorus heloisa
Wine-throated Hummingbird,Selasphorus ellioti
